speed,dist,out1,out2
4,2,18.90,-1.85
4,10,18.90,-1.85
7,4,21.50,9.95
7,22,21.50,9.95
8,16,22.53,13.88
9,10,23.67,17.81
10,18,24.93,21.74
10,26,24.93,21.74
10,34,24.93,21.74
11,17,26.32,25.68
11,28,26.32,25.68
12,14,27.89,29.61
12,20,27.89,29.61
12,24,27.89,29.61
12,28,27.89,29.61
13,26,29.65,33.54
13,34,29.65,33.54
13,34,29.65,33.54
13,46,29.65,33.54
14,26,31.65,37.47
14,36,31.65,37.47
14,60,31.65,37.47
14,80,31.65,37.47
15,20,33.94,41.41
15,26,33.94,41.41
15,54,33.94,41.41
16,32,36.59,45.34
16,40,36.59,45.34
17,32,39.68,49.27
17,40,39.68,49.27
17,50,39.68,49.27
18,42,43.35,53.20
18,56,43.35,53.20
18,76,43.35,53.20
18,84,43.35,53.20
19,36,47.76,57.14
19,46,47.76,57.14
19,68,47.76,57.14
20,32,53.18,61.07
20,48,53.18,61.07
20,52,53.18,61.07
20,56,53.18,61.07
20,64,53.18,61.07
22,66,68.76,68.93
23,54,80.57,72.87
24,70,97.28,76.80
24,92,97.28,76.80
24,93,97.28,76.80
24,120,97.28,76.80
25,85,122.73,80.73